mat-no,price-per-unit,pieces-per-pack,suggested-mat-no,name,url,summary,variants-info,thumbnail,thumbnail-2x,vector,size,variant,category,colour,subtitle
879828,144.00,144,669850,XILION Chaton,/XILION-Chaton-669850/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/669850-SWPMATERIAL-RVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w0NjI2fGltYWdlL3BuZ3xpbWFnZXMvaGNiL2g5OC84OTA4NTAyMDczMzc0LnBuZ3w4YjA0ZGQxM2UzMjAzMGJhMjc4NGRhMzAwZGYwZWIzZTk4NzI1YjQ4ZGIzOTQyNGJhMWY1NWM3ZDYxODI0YjYy,/medias/669850-SWPMATERIAL-RVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMDI0M3xpbWFnZS9wbmd8aW1hZ2VzL2hlNy9oNTMvODkwODUwMjEzODkxMC5wbmd8NTRmMjM0NGY0ZGVlYmNkMWEyOGNhM2YyNzBjNzg4OTQ3N2NhNjlmZWFhNjYzMGRhYzRiYzRkODY1MmQxMjQzMA,/medias/669850-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gzOC9oN2UvODkyMDcwODQ4MTA1NC5zdmd8YWU2Mzg0OWZhNmZkYTk4ZTQ0NWM1NDBiYWI2YTM5NTM1YzYwYWZjYWZkMWQzNWVjYWU1ZTUzYzEwZmQ0MTI3Mg,2.75 mm PP 21,Burgundy/Platinum-colored Pro Foiling,Round Stones,Burgundy,XILION Chaton
1003045,144.00,144,983969,XILION Chaton,/XILION-Chaton-983969/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/983969-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w0MjMzMXxpbWFnZS9wbmd8aW1hZ2VzL2hkMy9oYjAvODkyOTQ5NTUxNTE2Ni5wbmd8MTc2ZGZkMmIxODdlNDJiNjUzMjVlZTdjNDA3MmZmZTNiMmVmZTBhYjViYjcxMWIxNGNiOTRiZWNmMjE2MjczOA,/medias/983969-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w5MzQwOXxpbWFnZS9wbmd8aW1hZ2VzL2gwMS9oM2UvODkyOTQ5NTU4MDcwMi5wbmd8MTA0NTRjYWM1ZThjOTQ0YzkyMDM0MGJjNmZmZDFmMmZiMDdhYzUxZjk3YmZmOTcyZDNmNzU1M2YzMTU0NzU3Zg,/medias/983969-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hiOC9oMzYvODkyMDgxNzg2MDYzOC5zdmd8NzNlMWIyZGFkYTA3MjQzZDQ5ZjYyODViZTUyMTc2MDA1MzdjMTUzZDI2ODljYWE5NmM0NTRlMjQwZGJkNDM5YQ,1.55 mm PP 9,Dark Indigo/Platinum-colored Pro Foiling,Round Stones,Dark Indigo,XILION Chaton
1062501,144.00,144,1062499,XILION Chaton,/XILION-Chaton-1062499/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/1062499-SWPMATERIAL-RVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w2MDg3fGltYWdlL3BuZ3xpbWFnZXMvaGI4L2g0Mi84OTA2NDk0ODAzOTk4LnBuZ3wxZmM2ZmY0YmMyNDJmY2RkYTc0NzIxNGRjNzMzOGVmYjJlZmI4MWNlOTliMTU1MTJkNDM4YWE3YmFhMTlhNDVl,/medias/1062499-SWPMATERIAL-RVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyNTgxOXxpbWFnZS9wbmd8aW1hZ2VzL2gxMi9oMmQvODkwNjQ5NDg2OTUzNC5wbmd8ZTdiZGQzYmZjYWRjNTUzNmFjMTNjMDI2NjUwNDQ2ODA1ZTU4NTQ3OGIwNDM3ZTQxOWQwY2M3YzQzMzUxOWE4OA,/medias/1062499-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hhYi9oNjIvODkxOTYzNDkzNTgzOC5zdmd8YzlhYTdhNDMzZmIzZDA2ZmFkOTdkMGY5YWYyNmU3ZWFkZTQ5YWNkNjZhZTY4ODA5ZmM5MzI4NTAxYzJkODBkNQ,4.50 mm SS 19,Fern Green/Platinum-colored Pro Foiling,Round Stones,Fern Green,XILION Chaton
920604,144.00,144,920520,XILION Chaton,/XILION-Chaton-920520/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/920520-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w5OTgxfGltYWdlL3BuZ3xpbWFnZXMvaGRiL2g4OS84ODI1MDE5MjM2MzgyLnBuZ3xmMThkZjM2YTI0MjZjNDBmYmM3NTAzNTYyN2Y4ZmI1MmJiYTI0ZGQ3ZGM4NDIyMDg2MDA5MGZiMmM1NTk0ZWUy,/medias/920520-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3w4NTk0OHxpbWFnZS9wbmd8aW1hZ2VzL2gxNC9oYWUvODgyNTAyMDQ0ODc5OC5wbmd8NmExZDVkY2RmNmZjMGU4NWEyMjlkMzY2ODJiMzc4Njg5YmRmNzkyOTI4MjlmMjM0MzVlOTA0ZTRhMjQ3ZmE5Yw,/medias/920520-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hjYi9oMzQvODkyMDc5Mzg3NDQ2Mi5zdmd8YmFiYWMxOTU0YWM4ZWJkMTM1Yjc1YzViOGRjZDdmOTk1YmM5MzIxZGE3Y2FlOWJiNDUzZmZiZjhiNzA1YWFiMg,1.55 mm PP 9,Light Grey Opal/Platinum-colored Pro Foiling,Round Stones,Light Grey Opal,XILION Chaton
1062484,144.00,144,1062479,XILION Chaton,/XILION-Chaton-1062479/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/1062479-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMDM4OHxpbWFnZS9wbmd8aW1hZ2VzL2hkOS9oOTUvODkyNjc3MTgwNjIzOC5wbmd8ODc3YjdmNzY2OGFmNWJhYzcxODllOWJkMDQ5ZjU0OWY5ZjFmMTBlYWNhZmVlNGYwNTE1ZTMwYzcyZGUyMGZmMA,/medias/1062479-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyNzMzNnxpbWFnZS9wbmd8aW1hZ2VzL2gwMC9oYzEvODkyNjc3MTg3MTc3NC5wbmd8NWFjNDE4OTE1ZjgwNWM0MjBkNjU5YTRjNjAyZjQyOTYyMjgxMGI0YWNkYzY2ZDJhZjIyZGNjOGUzN2UxYjEwZg,/medias/1062479-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g4Ni9oY2MvODkxOTYzNDM0NjAxNC5zdmd8YmJhYmQ4NmYxN2ZhZjllYWFmZjc4MmM0YTAyM2QwYTU5ZjIyMjIzMmYwN2FhYTc4MDM5MDczMDgxOGZmNDE4NQ,3.10 mm PP 24,Provence Lavender/Platinum-colored Pro Foiling,Round Stones,Provence Lavender,XILION Chaton
832343,144.00,144,669020,XILION Chaton,/XILION-Chaton-669020/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/669020-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3wxMTUwMHxpbWFnZS9wbmd8aW1hZ2VzL2hhYi9oZjEvODkyOTMyNTgwOTY5NC5wbmd8NjZmNDEwNDVlMGViYWE2YjJhNmM0MDI1MTBhNmQxZjg5N2I0MTMzMDBmMDZkNGUwMTZlNDFhZmY2Y2ViZTFmNQ,/medias/669020-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wzMjUzOHxpbWFnZS9wbmd8aW1hZ2VzL2g0My9oMTIvODkyOTMyNTg3NTIzMC5wbmd8ZGI0ZmQzZWU4ZTU3YjBmYjc1NTEwYjM5N2Q2YWUzMjJjMTYyZmMxMzcwMDUyNWEzMDY5MTZlOWEwMDYxNDMyMw,/medias/669020-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2g3ZS9oZDMvODkyMDY5OTk2MTM3NC5zdmd8ZWE3ZmRmZTUxNTRiMzVjM2Q4NzFhYTE1Yzc0ZWVjZTg4MGNiNGE5ZDdkMjY1YmUwN2RhYzFhNGZlM2Y4OGQ3NQ,2.75 mm PP 21,Smoked Topaz/Platinum-colored Pro Foiling,Round Stones,Smoked Topaz,XILION Chaton
669808,144.00,144,669771,XILION Chaton,/XILION-Chaton-669771/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/669771-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w4OTk5fGltYWdlL3BuZ3xpbWFnZXMvaGMzL2g2Mi84ODI0MzE3NjA3OTY2LnBuZ3xmOTMwZTM5MDJmYjU5YjU1N2Y0MjEwZTAxM2NjYzQ2NzNkY2FhMjRhMWU1NDUyOGQ0NWQ5ZDAzZjc3NGUyMjk5,/medias/669771-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMDE3Mzl8aW1hZ2UvcG5nfGltYWdlcy9oZDgvaDAyLzg4MjQzMTg3MjIwNzgucG5nfDM2YzdmMmI0NDA0NTU3MWMwODhhNjY0ZjYyNjQwNTUyZDQ5NmJjODRmYWNiZDdiNmY5YTY1MDBiMjRiYjJlNTI,/medias/669771-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2gyNC9oZGUvODkyMDcwNzM2Njk0Mi5zdmd8YzUxNTFlMTNlZDkxNmMzZTllMzIxMDY3MTgzYjg3MzVhZmZlYmY4MzA3MGRkOGIxNWE0YTIyYzFlYmY1ZmFkNw,1.55 mm PP 9,Crystal Aurore Boreale/Platinum-colored Pro Foiling,Round Stones,Crystal Aurore Boreale,XILION Chaton
1103293,144.00,144,1103282,XILION Chaton,/XILION-Chaton-1103282/p,34 sizes & 101 colors/effects,101 colors/effects,/medias/1103282-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w5OTA1fGltYWdlL3BuZ3xpbWFnZXMvaGFmL2g0ZS84ODE2NTYwODY1MzEwLnBuZ3xhM2VmNGE0OTRlY2VmMTM2M2MzNWU0MjQ3ZDk0NzdiNjJlY2NhNWYyMTUwMmU1Mjg4MzdiOTIxZTFhOTFiNjAy,/medias/1103282-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyNjEwNXxpbWFnZS9wbmd8aW1hZ2VzL2g2MS9oY2MvODgxNjU2MjA3NzcyNi5wbmd8YzEyNjFhM2Q5MzUzNjNhMjBmOWY1N2Q4NTE4MWIwYWQyMzU5MDRkZjk5N2E3YmEwNWU3ZDdmNzFjOGQzODg1Yg,/medias/1103282-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wzNjg0fGltYWdlL3N2Zyt4bWx8aW1hZ2VzL2hkMC9oZWYvODkxOTY4MzgyNTY5NC5zdmd8MzBhNTYzMDdiNjYwZDU2OTJjNjk3YjczY2NiMTc1NzQ0YTI3ZjgyMzhhMWZjNjUyMGE0ZDE4MGUwNTg0OGJiZg,1.55 mm PP 9,Crystal Bronze Shade/Platinum-colored Pro Foiling,Round Stones,Crystal Bronze Shade,XILION Chaton
694320,144.00,144,5264607,Flower Pin 4320,/Flower-Pin-4320-5264607/p,1 variants,1 variants,/medias/5264607-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w0NTUyfGltYWdlL3BuZ3xpbWFnZXMvaDQyL2g3My84ODMzODg5Nzk2MTI2LnBuZ3xhMzc5ODM0OTlmMjU3ODRiODJmYjNjZTM0OTdhNDQ5ODliYzYyZDlmOTRlMTJkNmFkNjVhNTE1ODJiNjM4OGRl,/medias/5264607-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wxMzYyNnxpbWFnZS9wbmd8aW1hZ2VzL2gwNy9oNzAvODgzMzg5MTIwNTE1MC5wbmd8OWI5MTA3Yzk4MTRhNjhiZjI0YjM5NWZjMmY4YzVjM2U2NTQwYWExNWFiZWU5MGZlMjNkZjcwMTk1MmUxZGJjZQ,,18.00 mm,Crystal/Stainless Steel,Metal Trimmings,Crystal,Flower Pin 4320
1166823,144.00,144,1166823,Pear Fancy Stone,/Pear-Fancy-Stone-1166823/p,6 sizes & 93 colors/effects,93 colors/effects,/medias/1166823-SWPMATERIAL-FVPL-120x120.png?context=bWFzdGVyfGltYWdlc3w3NjA0fGltYWdlL3BuZ3xpbWFnZXMvaDVmL2hhYS84OTc2MDM2OTg2OTEwLnBuZ3xjMGM1N2MwYWM4N2NmZjcwNjE4MjU2OGFjOThkMDNiN2Y4Y2U1N2Q2ZGExMzAwNjJlMzBjYzY3MmUxYTdmMmIy,/medias/1166823-SWPMATERIAL-FVPL-240x240.png?context=bWFzdGVyfGltYWdlc3wyMjM4NnxpbWFnZS9wbmd8aW1hZ2VzL2hiZC9oMTcvODk3NjAzNzA1MjQ0Ni5wbmd8NjVjYzI3YmIzZDdjMDZkNWI0ZmEzMWRkNGViYjFjYTEyMWZmY2IyZTc1NWNkNzAzMTIxYThmODUxNDRlOWI4NQ,/medias/1166823-SWPMATERIAL-LD-VEC.svg?context=bWFzdGVyfGltYWdlc3wxMjYxMHxpbWFnZS9zdmcreG1sfGltYWdlcy9oNmYvaGU2Lzg5NzYwMzczMTQ1OTAuc3ZnfGNjZWE4MzBlYTZiNzQ3ZWIwZjEzMTBhYzQzMGE4MTk0MDZkYWVhMjhjODVjOWRiYjI5NDJlNDVhOTNiMjY4ZTM,14.00x10.00 mm,Light Azore/Unfoiled,Fancy Stones,Light Azore,Pear Fancy Stone
